                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.8965,                 2.0254,                 2.1852,                0.74027,                0.45178,                0.55196,                0.26721,                 1.9946,                 1.9133,                  2.342,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.8907,                 1.9901,                 2.1589,                0.70762,                0.46824,                0.57049,                0.26515,                 2.0196,                 1.8983,                 2.3855,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.903,                 1.9564,                 2.1423,                 0.7247,                0.48718,                 0.5786,                  0.283,                  2.024,                 1.8925,                  2.359,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.8982,                 1.9755,                 2.1592,                0.82346,                 0.4359,                0.56061,                 0.2646,                 1.9976,                 1.8917,                 2.3335,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.8439,                 1.9167,                 2.1137,                0.76576,                0.47319,                0.58354,                0.27566,                 2.0232,                 1.8653,                 2.3414,               0.000812,               0.000812,               0.000812
                     63,                 1.8445,                 1.9091,                 2.0995,                0.71354,                0.49354,                0.57747,                0.26845,                 2.0043,                 1.8223,                 2.3245,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.8649,                 1.9093,                 2.1202,                 0.6768,                0.48951,                0.57225,                0.24556,                 2.0996,                 1.8819,                 2.3989,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.8418,                 1.8974,                 2.1069,                0.68142,                0.48363,                0.58159,                0.27607,                 1.9686,                 1.9132,                  2.317,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.8478,                 1.8994,                 2.1216,                 0.7496,                0.47786,                0.58204,                0.27602,                 2.0245,                 1.8663,                 2.3306,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.8436,                 1.9009,                 2.1128,                0.75593,                0.48019,                0.56772,                0.27429,                 1.9562,                 1.8281,                 2.2945,               0.000713,               0.000713,               0.000713
                     68,                 1.8435,                 1.8973,                  2.116,                0.71934,                0.49184,                0.56881,                0.24909,                 2.0794,                 1.8604,                 2.3973,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.8101,                 1.8508,                 2.0833,                0.83857,                0.47225,                0.60346,                0.28056,                 2.0087,                 1.8171,                 2.3119,              0.0006734,              0.0006734,              0.0006734
                     70,                  1.797,                 1.7952,                 2.0595,                 0.8077,                0.46995,                0.60115,                0.29661,                 1.9416,                  1.785,                  2.298,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.8066,                 1.8438,                 2.0854,                  0.771,                0.48252,                0.58704,                  0.287,                 1.9756,                 1.8093,                 2.3147,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.8022,                 1.8135,                 2.0812,                 0.8281,                0.47786,                 0.6132,                0.30654,                  1.973,                 1.7527,                 2.2915,               0.000614,               0.000614,               0.000614
                     73,                 1.8003,                 1.7854,                 2.0632,                0.81397,                0.49976,                0.62552,                0.29378,                 1.9464,                 1.7784,                 2.2948,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.7962,                 1.8021,                 2.0655,                0.79242,                0.47163,                0.60185,                0.28847,                 1.9886,                  1.822,                 2.3253,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.791,                 1.7967,                 2.0523,                0.84594,                0.48637,                0.61944,                0.29915,                 1.9507,                 1.7506,                  2.301,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.7853,                 1.8063,                 2.0475,                0.82132,                0.51748,                0.63395,                0.31371,                 1.9502,                 1.7403,                 2.2784,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.7807,                 1.7807,                 2.0352,                0.79195,                0.48951,                0.59259,                0.28356,                 1.9713,                  1.825,                 2.3117,               0.000515,               0.000515,               0.000515
                     78,                 1.7743,                 1.7549,                 2.0466,                0.81544,                0.50816,                0.62812,                0.29189,                 1.9774,                 1.7476,                 2.3019,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.7753,                 1.7644,                 2.0349,                0.86046,                0.50583,                0.64032,                0.31716,                 1.9394,                 1.7089,                 2.2717,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.7348,                 1.7843,                 2.0303,                0.78568,                0.52125,                0.63904,                0.30225,                 1.9491,                 1.7358,                 2.2871,              0.0004556,              0.0004556,              0.0004556
                     81,                  1.777,                 1.7584,                 2.0375,                0.88851,                0.48297,                0.64476,                0.30847,                 1.9674,                 1.7012,                 2.2938,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.7559,                 1.7238,                 2.0253,                0.77701,                0.53606,                0.63879,                0.30779,                 1.9639,                 1.7131,                 2.2894,               0.000416,               0.000416,               0.000416
                     83,                 1.7592,                  1.736,                 2.0229,                0.80206,                0.51282,                 0.6459,                0.31435,                 1.9409,                  1.693,                 2.2628,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.7508,                 1.7582,                 2.0287,                0.81064,                0.52448,                0.65476,                0.31894,                 1.9232,                 1.6611,                 2.2387,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.7321,                 1.7227,                 2.0127,                0.76565,                0.51049,                0.63106,                0.30883,                 1.9208,                 1.7088,                 2.2305,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.7243,                 1.6695,                 2.0019,                0.81449,                0.51748,                0.65028,                0.31147,                 1.9397,                 1.6904,                 2.2509,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.7171,                 1.7334,                 1.9976,                0.85069,                0.50468,                0.65408,                0.31645,                 1.9232,                  1.659,                 2.2575,               0.000317,               0.000317,               0.000317
                     88,                 1.7103,                 1.6847,                 1.9846,                0.84037,                0.51282,                0.64705,                0.31035,                 1.9355,                 1.7033,                 2.2553,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.7066,                 1.6799,                 1.9997,                0.74545,                0.55478,                0.65778,                0.31487,                 1.9438,                 1.6682,                 2.2747,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.7003,                 1.6574,                 1.9829,                0.80222,                0.52681,                0.65828,                0.32622,                 1.9034,                  1.642,                 2.2383,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.7368,                 1.5848,                 2.0616,                0.81777,                0.52914,                0.66472,                0.32602,                 1.9203,                 1.6413,                 2.2575,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.7128,                 1.5013,                 2.0463,                 0.7139,                0.59207,                0.66836,                0.32644,                 1.8951,                 1.6396,                 2.2252,               0.000218,               0.000218,               0.000218
                     93,                 1.7024,                 1.4699,                 2.0302,                0.76149,                0.55245,                0.66725,                0.32423,                 1.8965,                 1.6313,                 2.2238,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.7023,                 1.4535,                 2.0317,                0.79075,                0.55496,                0.67049,                0.32769,                 1.9123,                 1.6098,                 2.2323,              0.0001784,              0.0001784,              0.0001784
                     95,                  1.694,                 1.4409,                 2.0284,                0.80017,                0.56005,                0.67574,                0.33094,                 1.8886,                 1.6006,                 2.2217,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.6682,                 1.4187,                 1.9912,                0.76929,                0.56876,                0.67983,                0.33566,                 1.8934,                 1.5726,                 2.2233,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.6678,                 1.4227,                 2.0216,                0.76056,                0.57754,                0.67776,                0.33084,                 1.9145,                 1.5765,                 2.2414,               0.000119,               0.000119,               0.000119
                     98,                 1.6667,                 1.4048,                 2.0137,                0.79817,                0.57152,                0.68635,                0.33539,                 1.8982,                 1.5862,                 2.2299,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.6777,                 1.3751,                 2.0099,                0.78686,                0.55944,                0.68222,                0.33866,                 1.8854,                 1.5625,                 2.2145,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.6674,                 1.3862,                 2.0007,                 0.8168,                0.57159,                 0.6893,                0.34003,                 1.8994,                 1.5639,                 2.2246,               5.96e-05,               5.96e-05,               5.96e-05
